spec,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
S11111,1.9815133748625873,2.7823078602620086,3.003526644834772,3.1234212818917237,3.185259541984733,3.2395598055105346,3.2593916449086167,3.332494479759117,3.563963950973324,3.7031387739751787,0.855797703,0.473819216,0.631680246,0.032848376,0.091519277,0.016562436,0.071903328,0.916935582,0.008981443,0.412613356
S11111,2.0577223394055606,2.885582361308677,3.024257425742574,3.10795297029703,3.1364445139105968,3.238622164614387,3.273724499836012,3.3455403225806446,3.483656239015817,3.63874511250461,0.533476492,0.732014219,0.013999883,0.095995648,0.10491737,0.010590711,0.004317977,0.08218274,0.964785204,0.638169869
S11111,2.051834511752341,2.900846021751574,3.066704663212435,3.1460727728983686,3.2451984410522896,3.2746850393700786,3.344532751091703,3.4661090527787484,3.534082857142857,3.683058691588785,0.460353523,0.641781924,0.006040827,0.172328245,0.344354373,1.008120621,0.161097772,0.030771893,0.013783832,0.398547455
S11111,1.9377674750356633,2.879096481271283,3.003526644834772,3.113947906976744,3.2404980544747084,3.2775704433497537,3.4020191715166033,3.419909090909091,3.680565558460964,3.6905605095541403,0.470029542,0.491653033,0.315463227,0.024943138,0.022831582,0.010590179,1.759505559,0.047319217,0.026994286,0.481827717
S11111,1.9552720389399676,2.8769418769492487,3.006695081967213,3.0633917808219175,3.2172229012544227,3.236748704663212,3.254645161290323,3.350588354089532,3.400973305954825,3.6656846411305324,0.760290436,0.668696788,0.103185388,0.084952869,1.461470789,0.002244698,0.069492529,0.002299477,0.068428857,0.367909153
S11111,1.9443226499552373,2.7404828326180257,3.01464932735426,3.1002832459117555,3.1390638297872338,3.1557677053824364,3.286260869565217,3.347557498318763,3.5885107155830003,3.653384957391627,0.76012109,0.406569878,0.254947742,0.002386895,0.107556045,0.069039563,1.170897304,0.004086824,0.001416782,0.085589376
S11111,1.932674724493423,2.857714124929657,2.9737986458639973,3.006695081967213,3.1053916537867075,3.2872296540362433,3.3136303191489356,3.332494479759117,3.36073556231003,3.6968378378378377,0.738638044,0.421850646,0.062669609,0.33995391,0.158331486,0.008851835,1.087445339,0.276021162,0.022128296,0.317218599
S11111,1.884809170832615,2.787638949671772,2.8166980348740656,2.9800017704337565,3.1011333333333333,3.2237021276595748,3.296952727272727,3.3425196374622357,3.5025176803394618,3.5686108303249093,0.403907591,0.332696829,0.102172341,0.244425928,0.009308408,0.091286992,0.004881932,1.691667222,0.060465787,0.110659878
S11111,1.8933447737909517,2.7521002695417787,2.945485148514851,2.9776721698113207,3.0518599575628977,3.1277488314116546,3.229279069767441,3.3516,3.574438336347197,3.6302649006622514,0.258877583,0.288651876,0.364078775,0.03540498,0.10406196,0.024383717,0.001089846,1.599942392,0.03655686,0.243838318
S11111,1.9022468619246857,2.8527767481044646,3.0683641354071365,3.1251506849315067,3.1690967741935485,3.213533568904593,3.2979285714285718,3.440153206239168,3.4792509652509653,3.7094634513941225,0.526171012,0.422065067,0.123192698,0.331696742,0.135754933,0.39552754,1.45917467,0.003598969,0.008803644,0.445768209
